occurrenceID,decimalLatitude,decimalLongitude,eventDate
CTP050612007272A00417a,29.9435,78.2783,2007-04-17
CTP050612007272A00413a,29.9435,78.2783,2007-04-16
CTP050612006211A00014a,29.9308,78.3095,2006-02-03
CTP050612008321A00078a,29.9555,78.2962,
CTP050612007272A00418a,29.9435,78.2783,2007-04-17
CTP050612006422A00027a,29.9811,78.234,2006-04-10
CTP050612008334A00011a,29.953,78.2766,
CTP050612007333A00007a,29.9566,78.2835,2007-04-25
CTP050612009180A00085a,29.899,78.275,
CTP050612009070A00013a,29.875,78.3105,2009-10-23
CTP050612005360A00003a,29.9551,78.2161,2005-02-23
CTP050612005290A00027a,29.9403,78.2414,2005-01-14
CTP050612005290A00026a,29.9403,78.2414,2005-01-13
CTP050612006262A00018a,29.9338,78.2916,2006-01-18
CTP050612009070A00117a,29.875,78.3105,2009-10-29
CTP050612005362A00034a,29.963,78.2142,2005-12-27
CTP050612007272A00416a,29.9435,78.2783,2007-04-17
CTP050612007272A00009a,29.9435,78.2783,2007-04-17
CTP050612005430A00021a,29.9685,78.2145,2005-12-27
CTP050612006422A00028a,29.9811,78.234,2006-04-10
CTP050612006172A00036a,29.8999,78.3008,2006-02-01
CTP050612006263A00023a,29.9421,78.2941,2006-01-09
CTP050612006323A00062a,29.9623,78.2877,2006-03-02
CTP050612006530A00006a,30.0048,78.2498,2006-04-07
CTP050612006231A00003a,29.9251,78.2768,2006-01-25
CTP050612008323A00041a,29.9623,78.2861,2005-01-11
CTP050612004331A00002a,29.9518,78.269,2004-07-06
CTP050612007272A00424a,29.9435,78.2783,2007-04-17
CTP050612006210A00031a,29.9138,78.3074,2006-02-07
CTP050612007272A00423a,29.9435,78.2783,2007-04-17
CTP050612008171A00067a,29.9079,78.2878,
CTP050612007211A00151a,29.9308,78.3095,2007-05-06
CTP050612005361A00003a,29.9606,78.2102,2005-02-22
CTP050612008321A00021a,29.9555,78.2962,2006-01-10
CTP050612005210A00008a,29.914,78.3077,2005-02-13
CTP050612008180A00284a,29.899,78.275,
CTP050612005420A00030a,29.9702,78.2319,2005-01-06
CTP050612006230A00032a,29.9278,78.2668,2006-01-08
CTP050612006172A00037a,29.8999,78.3008,2006-02-01
CTP050612004262A00001a,29.9338,78.2916,2004-05-27
CTP050612005323A00042a,29.9622,78.2877,2005-01-31
CTP050612005282A00015a,29.9434,78.2445,2005-01-13
CTP050612005264A00015a,29.9457,78.2934,2005-03-25
CTP050612007265A00013a,29.9488,78.2889,2007-05-21
CTP050612006172A00062a,29.8999,78.3008,2006-02-09
CTP050612006172A00043a,29.8999,78.3008,2006-02-04
CTP050612005340A00011a,29.9644,78.2483,2005-01-05
CTP050612005420A00015a,29.9702,78.2319,2005-03-03
CTP050612005321A00060a,29.9556,78.2977,2005-03-27
CTP050612007272A00018a,29.9435,78.2783,2007-04-17
CTP050612007272A00419a,29.9435,78.2783,2007-04-17
CTP050612006430A00032a,29.9685,78.2145,2006-02-18
CTP050612007272A00019a,29.9435,78.2783,2007-04-17
CTP050612005262A00073a,29.9338,78.2916,2005-02-02
CTP050612004262B00002a,29.9338,78.2916,2004-06-13
CTP050612005290A00001a,29.9403,78.2414,2005-01-06
CTP050612005421A00007a,29.97,78.2277,2005-03-08
CTP050612005180A00039a,29.8988,78.278,2005-02-16
CTP050612006211A00006a,29.9308,78.3095,2006-01-29
CTP050612006211A00007a,29.9308,78.3095,2006-01-30
CTP050612004331A00001a,29.9518,78.269,2004-07-01
CTP050612005350A00009a,29.9597,78.2296,2005-03-03
CTP050612006172A00005a,29.8999,78.3008,2006-03-19
CTP050612005421A00012a,29.97,78.2277,2005-03-08
CTP050612006130A00007a,29.8915,78.2848,2006-01-31
CTP050612005363A00022a,29.9533,78.2138,2005-12-29
CTP050612005220A00073a,29.9128,78.2941,2005-04-09
CTP050612005290A00002a,29.9403,78.2414,2005-01-06
CTP050612005261A00066a,29.9316,78.2962,2005-04-09
CTP050612005282A00005a,29.9434,78.2445,2005-02-22
CTP050612005261A00013a,29.9316,78.2962,2005-02-09
